Running time,Based on,Clean box office,Clean budget,English,Year,Covid-19,20th Century Fox,Other studio,Paramount Pictures,Sony Pictures Releasing,Streaming,Universal Pictures,Walt Disney Studios,Warner Bros. Pictures,Month,G,PG,PG-13,R,Part_of_franchise,Sci-fi,Biography,Documentary,Mystery & thriller,Drama,Holiday,Western,Horror,Fantasy,Action,Kids & family,Lgbtq+,War,Crime,Comedy,History,Music,Romance,Adventure,Animation,Musical,Lionsgate,Max_prev_box_office_director,Prev_box_office_actors,Avg_ratings_score_director,Median_main_genre_box_office,Weekly_budget_ratio,Previous_movie_box_office
108.0,0,24300000.0,25000000.0,1,2000,0,False,False,True,False,False,False,False,False,3,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,55000000.0,449337266.4,51.5,12150000.0,0.23946360153256704,0.0
114.0,1,111000000.0,100000000.0,1,2000,0,False,False,False,False,False,False,True,False,3,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,457700000.0,1039725325.0,52.6,45700000.0,1.0,0.0
98.0,0,112900000.0,23000000.0,1,2000,0,False,False,False,False,False,False,False,True,3,False,False,False,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,77022830.0,64.53950143811011,16850000.0,0.21904761904761905,0.0
113.0,1,47100000.0,30000000.0,1,2000,0,False,False,False,False,False,False,True,False,3,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,67000000.0,755318280.8,59.0,18137661.0,0.2857142857142857,0.0
96.0,0,10900000.0,15000000.0,1,2000,0,True,False,False,False,False,False,False,False,3,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,266490000.0,64.53950143811011,5962569.5,0.20833333333333334,0.0
94.0,0,9000000.0,32000000.0,1,2000,0,False,False,False,True,False,False,False,False,3,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,9017070.0,35640000.0,79.0,12262330.0,0.4444444444444444,0.0
89.0,0,76400000.0,95000000.0,1,2000,0,False,True,False,False,False,False,False,False,3,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,False,0.0,1268410365.6,64.53950143811011,26750000.0,0.7421875,0.0
104.0,0,62200000.0,43000000.0,1,2000,0,False,True,False,False,False,False,False,False,4,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,294400000.0,1572213438.3999999,50.0,12200000.0,0.2847682119205298,0.0
128.0,0,71700000.0,60000000.0,1,2000,0,False,False,True,False,False,False,False,False,4,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,26000000.0,2721098960.4,42.0,5962569.5,0.3973509933774834,0.0
128.0,0,59900000.0,29000000.0,1,2000,0,False,False,False,False,False,False,True,False,4,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,0.0,580736990.0,64.53950143811011,18272894.0,0.5087719298245614,0.0
89.0,0,7000000.0,28000000.0,1,2000,0,False,True,False,False,False,False,False,False,4,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,797687481.2,64.53950143811011,5985690.0,0.49122807017543857,0.0
90.0,0,12000000.0,24000000.0,1,2000,0,False,False,False,False,False,False,False,True,4,False,False,False,True,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,19298282.6,64.53950143811011,21700000.0,0.23300970873786409,0.0
127.0,0,27700000.0,17000000.0,1,2000,0,False,False,False,False,False,False,False,True,4,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,0.0,203488241.6,64.53950143811011,18386447.0,0.1650485436893204,0.0
116.0,0,127000000.0,62000000.0,1,2000,0,False,False,False,False,False,True,False,False,4,False,False,True,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,50200000.0,1780556466.0,68.0,19650000.0,0.6019417475728155,0.0
